Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.784,0.863,0.028,0.915,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,19.9,9.7,1.7,5.8,9.4,9.0,Arming
0.976,0.768,0.062,0.446,x,0.0,0.0,9.80665,0.19,0.596,0.034,14.8,18.2,5.8,1.1,6.3,2.3,Landing
0.767,0.755,0.024,0.633,x,0.0,0.0,9.80665,0.161,0.152,0.184,9.7,11.0,19.6,2.2,7.8,7.8,Arming
0.924,0.476,0.028,0.892,x,0.0,0.0,9.80665,0.582,0.445,0.366,4.1,1.9,4.3,4.8,5.9,9.5,Arming
0.77,0.33,0.084,0.315,+,0.0,0.0,9.80665,0.592,0.424,0.452,1.7,13.3,10.5,9.0,6.1,7.5,Gyro fail
0.7,0.389,0.032,0.275,x,0.0,0.0,9.80665,0.232,0.393,0.364,1.4,10.1,3.9,8.4,5.3,6.7,Arming
0.948,0.853,0.093,0.814,+,0.0,0.0,9.80665,0.317,0.561,0.385,2.1,10.6,8.8,2.3,2.4,6.3,Gyro fail
0.85,0.081,0.091,0.211,+,0.0,0.0,9.80665,0.634,0.044,0.523,6.1,1.3,15.6,2.1,4.7,9.1,Arming
0.807,0.287,0.065,0.76,x,0.0,0.0,9.80665,0.063,0.638,0.318,11.6,14.5,2.1,2.9,0.0,7.7,Arming hangs
0.578,0.712,0.074,0.904,+,0.0,0.0,9.80665,0.586,0.29,0.368,12.3,8.8,17.4,7.7,3.4,5.8,Arming hangs
0.437,0.864,0.087,0.303,x,0.0,0.0,9.80665,0.476,0.392,0.346,4.0,9.5,7.5,1.1,6.7,9.3,Arming
0.142,0.19,0.091,0.898,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.8,10.3,12.3,2.9,8.0,8.7,Arming hangs
0.445,0.13,0.046,0.972,+,0.0,0.0,9.80665,0.338,0.558,0.126,5.6,11.9,15.0,2.7,1.6,3.4,Arming
0.722,0.286,0.036,0.557,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,16.7,2.4,1.8,3.6,4.9,7.3,Arming
0.772,0.538,0.01,0.198,x,0.0,0.0,9.80665,0.514,0.103,0.553,5.8,12.0,10.2,1.1,7.4,7.0,Gyro fail
0.048,0.271,0.071,0.497,+,0.0,0.0,9.80665,0.072,0.408,0.381,14.4,2.8,14.7,0.0,9.7,1.3,Takeoff
0.938,0.23,0.002,0.899,+,0.0,0.0,9.80665,0.472,0.408,0.544,10.5,16.3,8.0,7.9,9.6,6.8,Arming hangs
0.393,0.467,0.099,0.686,+,0.0,0.0,9.80665,0.226,0.337,0.358,15.9,13.1,7.5,8.2,7.1,0.8,Gyro fail
0.735,0.722,0.032,0.132,x,0.0,0.0,9.80665,0.458,0.3,0.528,6.3,5.8,13.5,2.1,0.0,1.9,Gyro fail
0.15,0.25,0.076,0.837,x,0.0,0.0,9.80665,0.571,0.221,0.082,8.0,11.2,9.1,5.5,1.4,0.8,Gyro fail
0.675,0.305,0.099,0.525,x,0.0,0.0,9.80665,0.115,0.33,0.497,5.7,12.7,12.0,8.5,8.8,9.8,Gyro fail
0.974,0.898,0.077,0.658,x,0.0,0.0,9.80665,0.381,0.648,0.302,3.7,10.3,9.3,0.7,8.9,6.6,Arming
0.081,0.722,0.017,0.856,+,0.0,0.0,9.80665,0.192,0.367,0.27,7.9,7.6,0.1,4.6,7.0,8.3,Gyro fail
0.177,0.241,0.08,0.05,+,0.0,0.0,9.80665,0.273,0.204,0.138,15.7,9.8,7.3,3.2,8.9,2.4,Gyro fail
0.622,0.316,0.097,0.149,+,0.0,0.0,9.80665,0.135,0.241,0.273,10.8,0.7,19.8,8.0,5.0,7.8,Landing
0.934,0.646,0.083,0.573,+,0.0,0.0,9.80665,0.33,0.076,0.071,5.1,13.3,12.4,3.6,2.2,8.4,Arming
0.096,0.37,0.017,0.369,x,0.0,0.0,9.80665,0.198,0.05,0.167,3.0,12.0,17.0,0.0,2.5,1.2,Arming
0.933,0.735,0.003,0.679,+,0.0,0.0,9.80665,0.616,0.005,0.47,9.6,17.1,16.6,1.7,5.6,2.6,Arming
0.68,0.376,0.064,0.02,x,0.0,0.0,9.80665,0.135,0.616,0.067,13.3,15.1,19.9,0.7,2.4,1.8,Gyro fail
0.337,0.735,0.039,0.721,+,0.0,0.0,9.80665,0.06,0.357,0.161,3.7,1.2,6.5,6.1,1.6,2.3,Gyro fail
0.517,0.409,0.064,0.43,+,0.0,0.0,9.80665,0.533,0.504,0.356,9.9,10.6,0.5,8.7,6.5,4.7,Arming
0.761,0.45,0.046,0.412,x,0.0,0.0,9.80665,0.596,0.442,0.457,2.7,10.5,2.0,1.5,9.6,4.3,Gyro fail
0.316,0.08,0.086,0.292,+,0.0,0.0,9.80665,0.37,0.456,0.634,17.9,18.4,13.1,9.7,1.4,6.1,Gyro fail
0.163,0.153,0.078,0.626,x,0.0,0.0,9.80665,0.499,0.343,0.335,5.6,9.2,12.3,9.4,0.4,1.7,Arming
0.952,0.577,0.006,0.457,+,0.0,0.0,9.80665,0.618,0.255,0.472,13.6,15.5,3.4,4.2,6.7,9.4,Dangerous battery level
0.734,0.797,0.022,0.772,+,0.0,0.0,9.80665,0.423,0.312,0.473,19.7,6.3,4.0,2.7,1.7,4.7,Arming
0.173,0.639,0.026,0.904,+,0.0,0.0,9.80665,0.002,0.345,0.6,15.9,3.9,14.2,5.0,0.3,6.2,Arming hangs
0.974,0.047,0.081,0.35,x,0.0,0.0,9.80665,0.555,0.182,0.169,4.0,18.0,11.8,2.6,7.1,1.9,Arming
0.93,0.124,0.083,0.216,x,0.0,0.0,9.80665,0.171,0.348,0.099,18.1,13.2,18.0,9.6,9.7,9.5,Arming
0.678,0.078,0.092,0.605,+,0.0,0.0,9.80665,0.593,0.118,0.578,15.5,18.5,0.5,6.0,4.0,8.3,Arming
0.142,0.655,0.03,0.795,x,0.0,0.0,9.80665,0.162,0.417,0.106,19.7,14.0,5.9,7.6,7.1,6.2,Arming hangs
0.677,0.099,0.098,0.01,+,0.0,0.0,9.80665,0.518,0.566,0.158,13.7,15.8,10.1,6.8,0.3,6.1,Arming
0.879,0.252,0.086,0.468,+,0.0,0.0,9.80665,0.185,0.318,0.487,0.8,18.9,13.5,8.6,9.1,1.4,Arming
0.523,0.03,0.068,0.89,x,0.0,0.0,9.80665,0.03,0.473,0.486,3.7,13.1,12.5,3.5,4.4,5.8,Landing
0.288,0.874,0.021,0.95,x,0.0,0.0,9.80665,0.025,0.433,0.387,19.2,5.5,10.8,2.1,3.6,7.5,Gyro fail
0.104,0.171,0.003,0.403,x,0.0,0.0,9.80665,0.29,0.193,0.2,0.1,19.8,15.7,1.8,6.8,8.0,Gyro fail
0.529,0.149,0.084,0.877,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,10.3,8.7,4.8,6.4,9.2,2.8,Arming
0.255,0.652,0.009,0.249,+,0.0,0.0,9.80665,0.501,0.392,0.444,14.9,15.4,10.3,8.8,8.1,5.9,Arming
0.84,0.085,0.042,0.873,x,0.0,0.0,9.80665,0.097,0.352,0.626,16.7,1.6,11.0,1.7,0.9,6.0,Arming
0.545,0.882,0.079,0.988,x,0.0,0.0,9.80665,0.489,0.448,0.614,14.7,6.9,19.0,8.2,5.3,2.5,Arming
0.575,0.697,0.038,0.017,+,0.0,0.0,9.80665,0.501,0.483,0.107,0.0,13.8,1.5,1.1,3.1,5.9,Arming
0.465,0.53,0.036,0.499,x,0.0,0.0,9.80665,0.312,0.507,0.143,0.1,9.9,11.4,8.5,7.0,2.0,Arming
0.585,0.64,0.062,0.686,+,0.0,0.0,9.80665,0.047,0.419,0.194,16.6,11.1,7.8,1.1,6.6,3.9,Gyro fail
0.793,0.1,0.068,0.243,+,0.0,0.0,9.80665,0.061,0.281,0.633,7.5,16.2,13.9,3.6,4.1,4.3,Arming
0.576,0.478,0.065,0.125,+,0.0,0.0,9.80665,0.277,0.644,0.307,15.7,7.3,7.4,9.4,1.8,0.9,Arming hangs
0.272,0.878,0.097,0.138,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,8.3,16.8,10.2,2.8,9.6,2.0,Landing
0.819,0.046,0.026,0.711,+,0.0,0.0,9.80665,0.524,0.478,0.52,10.3,9.8,16.7,1.5,6.4,1.2,Gyro fail
0.502,0.726,0.035,0.878,x,0.0,0.0,9.80665,0.479,0.206,0.031,11.2,6.5,7.6,8.9,6.4,8.8,Arming
0.938,0.877,0.09,0.589,+,0.0,0.0,9.80665,0.18,0.411,0.493,13.7,10.8,17.3,4.4,0.3,5.7,Arming
0.47,0.883,0.072,0.637,+,0.0,0.0,9.80665,0.192,0.456,0.043,6.8,9.9,7.2,4.6,1.3,3.3,Arming
0.616,0.485,0.027,0.303,x,0.0,0.0,9.80665,0.149,0.285,0.294,0.1,16.2,2.6,6.7,0.5,6.2,Arming
0.231,0.189,0.094,0.298,+,0.0,0.0,9.80665,0.186,0.093,0.024,4.7,16.7,0.8,6.1,8.8,5.6,Takeoff
0.461,0.227,0.083,0.14,+,0.0,0.0,9.80665,0.194,0.324,0.554,0.9,3.8,5.5,8.8,4.9,3.0,Arming
0.993,0.45,0.081,0.777,x,0.0,0.0,9.80665,0.499,0.075,0.121,2.2,12.6,10.1,7.2,4.1,7.2,Arming
0.467,0.582,0.008,0.635,x,0.0,0.0,9.80665,0.486,0.322,0.19,5.7,10.2,16.2,1.8,9.6,0.4,Arming hangs
0.709,0.683,0.042,0.112,x,0.0,0.0,9.80665,0.159,0.104,0.398,19.7,4.8,4.8,3.6,0.0,1.5,Arming hangs
0.109,0.153,0.04,0.193,+,0.0,0.0,9.80665,0.339,0.436,0.505,19.6,3.4,16.3,6.4,1.1,8.9,Arming
0.35,0.092,0.02,0.053,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.0,5.1,4.5,5.0,1.1,4.6,Arming
0.626,0.778,0.065,0.563,x,0.0,0.0,9.80665,0.397,0.557,0.642,0.5,8.3,6.7,5.3,9.2,8.9,Arming
0.023,0.095,0.092,0.425,+,0.0,0.0,9.80665,0.012,0.3,0.566,13.1,9.6,1.2,4.4,8.7,8.7,Arming hangs
0.875,0.507,0.094,0.087,+,0.0,0.0,9.80665,0.625,0.055,0.336,3.1,10.1,3.3,2.1,1.9,7.4,Arming
0.651,0.391,0.012,0.02,x,0.0,0.0,9.80665,0.036,0.29,0.497,1.5,19.4,19.2,1.0,1.8,7.0,Arming
0.386,0.491,0.074,0.12,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,9.9,19.8,15.5,0.1,8.8,8.6,Arming
0.207,0.466,0.005,0.174,x,0.0,0.0,9.80665,0.292,0.387,0.625,8.1,4.0,3.8,9.4,8.8,4.0,Arming
0.347,0.817,0.018,0.513,+,0.0,0.0,9.80665,0.59,0.041,0.085,18.2,8.8,16.6,8.9,9.6,4.7,Arming
0.919,0.859,0.031,0.312,+,0.0,0.0,9.80665,0.199,0.437,0.295,0.1,13.5,12.4,3.9,9.8,3.0,Arming
0.265,0.363,0.023,0.946,x,0.0,0.0,9.80665,0.046,0.421,0.425,1.8,0.1,13.7,9.8,5.4,3.4,Arming hangs
0.742,0.64,0.06,0.561,x,0.0,0.0,9.80665,0.646,0.093,0.087,14.9,5.1,2.5,9.2,9.7,5.9,Arming
0.604,0.599,0.029,0.891,+,0.0,0.0,9.80665,0.207,0.419,0.087,9.4,17.1,8.5,1.0,8.3,2.4,Arming
0.694,0.586,0.05,0.154,x,0.0,0.0,9.80665,0.21,0.344,0.041,2.8,9.0,17.6,0.6,7.0,3.0,Arming
0.641,0.797,0.02,0.696,x,0.0,0.0,9.80665,0.567,0.519,0.097,0.7,11.0,5.8,4.4,5.8,9.1,Arming hangs
0.871,0.864,0.09,0.785,+,0.0,0.0,9.80665,0.455,0.538,0.24,2.4,12.4,11.3,2.8,3.0,1.5,Arming
0.316,0.487,0.071,0.295,+,0.0,0.0,9.80665,0.13,0.364,0.102,19.3,6.7,2.7,5.7,2.7,7.4,Arming
0.888,0.367,0.062,0.097,+,0.0,0.0,9.80665,0.007,0.609,0.45,3.9,17.2,19.3,0.7,5.1,6.4,Gyro fail
0.028,0.084,0.064,0.35,x,0.0,0.0,9.80665,0.272,0.201,0.396,16.8,3.4,3.4,1.2,1.4,9.8,Arming hangs
0.131,0.306,0.003,0.136,x,0.0,0.0,9.80665,0.408,0.154,0.421,15.8,12.5,6.8,9.1,5.5,1.2,Arming
0.695,0.23,0.077,0.578,x,0.0,0.0,9.80665,0.588,0.106,0.177,18.1,8.0,19.4,9.5,5.4,3.9,Arming
0.353,0.574,0.06,0.13,x,0.0,0.0,9.80665,0.061,0.377,0.26,18.1,7.3,6.9,3.3,0.7,4.6,Dangerous battery level
0.113,0.022,0.094,0.731,x,0.0,0.0,9.80665,0.585,0.478,0.545,4.5,4.4,11.1,0.1,6.0,4.9,Gyro fail
0.976,0.436,0.026,0.524,+,0.0,0.0,9.80665,0.375,0.29,0.056,17.1,10.6,13.1,9.0,2.4,9.4,Arming
0.06,0.72,0.037,0.241,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,16.6,5.2,10.8,1.3,2.0,6.8,Gyro fail
0.803,0.135,0.015,0.127,+,0.0,0.0,9.80665,0.459,0.048,0.58,18.9,6.2,10.3,8.5,4.5,5.6,Arming
0.498,0.301,0.045,0.315,x,0.0,0.0,9.80665,0.5,0.37,0.071,0.8,13.9,4.4,7.6,7.5,9.2,Gyro fail
0.262,0.214,0.008,0.899,x,0.0,0.0,9.80665,0.169,0.473,0.09,11.8,11.2,1.9,0.5,2.6,1.6,Gyro fail
0.673,0.741,0.039,0.261,x,0.0,0.0,9.80665,0.283,0.458,0.047,8.7,15.9,15.5,1.1,4.4,9.5,Gyro fail
0.525,0.299,0.09,0.056,+,0.0,0.0,9.80665,0.625,0.555,0.602,13.9,12.1,13.6,8.0,5.6,7.1,Gyro fail
0.496,0.108,0.067,0.161,x,0.0,0.0,9.80665,0.354,0.226,0.004,4.8,10.2,5.9,4.2,4.2,3.0,Gyro fail
0.665,0.788,0.038,0.464,+,0.0,0.0,9.80665,0.016,0.525,0.639,5.6,1.8,1.9,7.1,7.5,0.6,Gyro fail
0.702,0.617,0.074,0.137,x,0.0,0.0,9.80665,0.264,0.051,0.588,14.5,4.5,2.0,0.1,8.6,6.3,Gyro fail
0.113,0.567,0.062,0.453,+,0.0,0.0,9.80665,0.135,0.273,0.375,12.8,15.4,12.1,5.4,2.1,8.7,Gyro fail
0.182,0.402,0.098,0.89,x,0.0,0.0,9.80665,0.624,0.082,0.14,5.1,5.5,3.8,4.1,9.0,9.0,Gyro fail
0.585,0.407,0.089,0.86,x,0.0,0.0,9.80665,0.001,0.456,0.138,17.2,14.7,2.8,7.9,5.2,3.2,Gyro fail
0.323,0.821,0.08,0.406,x,0.0,0.0,9.80665,0.454,0.528,0.51,5.0,10.6,12.8,5.5,2.0,0.9,Gyro fail
0.561,0.33,0.001,0.817,+,0.0,0.0,9.80665,0.525,0.634,0.1,17.2,18.7,8.6,0.9,7.4,8.6,Gyro fail
0.702,0.469,0.0,0.243,x,0.0,0.0,9.80665,0.419,0.556,0.459,18.3,4.1,1.3,6.9,1.7,9.0,Gyro fail
0.599,0.821,0.013,0.041,x,0.0,0.0,9.80665,0.63,0.511,0.616,8.2,16.5,4.7,5.2,7.4,7.7,Gyro fail
0.101,0.471,0.051,0.591,x,0.0,0.0,9.80665,0.58,0.221,0.469,6.6,16.2,12.8,3.6,9.0,7.8,Gyro fail
0.756,0.109,0.098,0.506,x,0.0,0.0,9.80665,0.103,0.16,0.321,8.0,6.1,4.7,2.5,0.4,4.0,Gyro fail
0.676,0.799,0.071,0.267,+,0.0,0.0,9.80665,0.401,0.132,0.148,9.8,3.5,2.4,2.6,3.6,9.3,Gyro fail
0.864,0.219,0.024,0.12,x,0.0,0.0,9.80665,0.185,0.481,0.051,14.8,11.8,8.0,9.5,2.9,3.7,Arming hangs
0.098,0.826,0.079,0.334,x,0.0,0.0,9.80665,0.378,0.404,0.353,11.3,0.9,19.9,1.0,5.3,1.5,Arming
0.65,0.3,0.042,0.965,x,0.0,0.0,9.80665,0.399,0.617,0.569,18.4,17.1,15.7,4.3,3.3,6.2,Dangerous battery level
0.728,0.464,0.002,0.582,+,0.0,0.0,9.80665,0.121,0.503,0.292,10.4,14.2,8.5,0.5,1.4,6.1,Arming
0.675,0.542,0.003,0.139,x,0.0,0.0,9.80665,0.372,0.042,0.344,18.3,6.4,12.0,9.0,1.1,6.9,Dangerous battery level
0.388,0.317,0.031,0.993,+,0.0,0.0,9.80665,0.225,0.625,0.54,4.5,18.9,14.1,2.3,9.7,2.4,Gyro fail
0.334,0.28,0.088,0.457,+,0.0,0.0,9.80665,0.169,0.446,0.07,11.8,5.0,1.3,2.7,2.4,9.2,Arming
0.524,0.038,0.061,0.159,+,0.0,0.0,9.80665,0.426,0.193,0.456,15.0,10.8,15.1,7.6,1.1,9.0,Arming
0.221,0.462,0.077,0.537,+,0.0,0.0,9.80665,0.276,0.066,0.474,6.9,9.4,4.7,4.0,2.4,0.1,Dangerous battery level
0.437,0.459,0.035,0.645,+,0.0,0.0,9.80665,0.353,0.408,0.611,3.3,17.5,6.7,2.4,5.9,0.1,Arming
0.609,0.38,0.005,0.592,+,0.0,0.0,9.80665,0.511,0.147,0.176,18.0,1.0,2.1,5.3,1.1,4.7,Arming
0.632,0.531,0.005,0.228,+,0.0,0.0,9.80665,0.172,0.535,0.593,1.4,5.6,14.5,1.8,1.7,7.8,Arming hangs
0.162,0.685,0.094,0.435,x,0.0,0.0,9.80665,0.154,0.526,0.333,6.7,11.2,13.1,4.7,3.4,1.5,Arming
0.442,0.735,0.081,0.106,x,0.0,0.0,9.80665,0.153,0.458,0.586,1.0,13.0,6.0,8.0,0.2,5.9,Arming
0.726,0.302,0.03,0.498,+,0.0,0.0,9.80665,0.312,0.314,0.077,10.5,12.5,1.0,4.0,5.8,1.3,Dangerous battery level
0.509,0.462,0.045,0.693,x,0.0,0.0,9.80665,0.192,0.325,0.513,13.0,12.9,2.7,4.3,3.4,2.8,Arming
0.968,0.551,0.001,0.67,x,0.0,0.0,9.80665,0.54,0.547,0.487,14.4,2.6,12.9,7.7,0.9,1.0,Arming hangs
0.099,0.036,0.09,0.427,+,0.0,0.0,9.80665,0.02,0.462,0.602,2.4,19.2,8.1,5.8,0.8,2.6,Landing
0.986,0.429,0.026,0.725,+,0.0,0.0,9.80665,0.57,0.149,0.211,2.7,2.6,19.0,2.1,6.5,1.9,Arming hangs
0.686,0.701,0.071,0.65,x,0.0,0.0,9.80665,0.144,0.159,0.425,1.5,8.6,15.7,0.5,0.5,9.7,Arming
0.633,0.398,0.094,0.193,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,17.6,10.5,8.0,8.7,2.4,6.6,Arming hangs
0.99,0.809,0.05,0.952,x,0.0,0.0,9.80665,0.583,0.581,0.209,19.3,17.5,14.8,7.7,5.9,6.2,Arming hangs
0.281,0.566,0.069,0.86,+,0.0,0.0,9.80665,0.462,0.515,0.017,8.3,16.7,15.0,9.4,7.9,5.6,Arming hangs
0.393,0.614,0.062,0.452,x,0.0,0.0,9.80665,0.313,0.603,0.46,15.9,5.8,11.3,2.2,0.0,7.1,Dangerous battery level
0.529,0.6,0.055,0.443,+,0.0,0.0,9.80665,0.549,0.317,0.249,10.0,13.3,2.3,1.1,0.9,8.5,Arming
0.413,0.416,0.002,0.762,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,16.9,10.3,19.6,6.5,6.9,5.9,Arming hangs
0.62,0.32,0.084,0.882,x,0.0,0.0,9.80665,0.204,0.589,0.122,0.2,7.5,19.0,8.6,1.3,6.8,Arming
0.561,0.068,0.009,0.835,+,0.0,0.0,9.80665,0.461,0.076,0.237,5.8,10.9,19.4,3.4,6.9,2.6,Arming
0.026,0.75,0.007,0.286,+,0.0,0.0,9.80665,0.35,0.241,0.139,2.0,7.9,16.4,2.2,7.0,6.1,Arming
0.033,0.511,0.032,0.6,x,0.0,0.0,9.80665,0.2,0.382,0.455,13.5,17.1,17.1,0.9,8.1,0.0,Arming
0.025,0.162,0.078,0.874,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,19.7,1.6,14.0,9.0,2.9,0.7,Arming
0.494,0.413,0.066,0.908,x,0.0,0.0,9.80665,0.346,0.114,0.549,15.9,4.9,16.9,4.7,4.2,5.9,Landing
0.992,0.5,0.021,0.207,+,0.0,0.0,9.80665,0.043,0.482,0.226,4.8,14.5,14.0,6.7,7.1,0.5,Landing
0.53,0.089,0.088,0.882,x,0.0,0.0,9.80665,0.616,0.079,0.103,1.3,1.0,15.9,5.3,1.7,3.7,Arming
0.854,0.42,0.014,0.447,+,0.0,0.0,9.80665,0.31,0.102,0.123,16.5,13.5,1.5,7.9,6.4,9.3,Gyro fail
0.41,0.183,0.052,0.99,x,0.0,0.0,9.80665,0.118,0.355,0.485,14.2,19.3,19.8,9.9,3.2,2.8,Gyro fail
0.856,0.272,0.087,0.601,x,0.0,0.0,9.80665,0.457,0.492,0.512,17.5,3.1,8.5,3.0,1.5,8.2,Gyro fail
0.678,0.439,0.08,0.098,x,0.0,0.0,9.80665,0.028,0.01,0.086,18.9,3.5,17.8,9.6,9.9,6.8,Gyro fail
0.316,0.87,0.063,0.448,+,0.0,0.0,9.80665,0.122,0.639,0.417,10.0,11.7,1.5,6.1,7.4,8.9,Gyro fail
0.249,0.437,0.031,0.478,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,7.6,6.4,8.9,4.9,8.8,0.7,Arming
0.196,0.24,0.098,0.182,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,10.6,8.1,18.0,3.1,4.1,1.0,Gyro fail
0.666,0.152,0.027,0.701,x,0.0,0.0,9.80665,0.115,0.547,0.458,12.7,10.6,9.4,6.1,2.6,2.2,Landing
0.228,0.894,0.054,0.24,x,0.0,0.0,9.80665,0.295,0.503,0.586,18.7,17.1,6.9,4.0,0.1,4.9,Arming
0.837,0.308,0.043,0.511,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,4.7,13.7,4.4,5.5,9.2,4.5,Arming
0.037,0.898,0.087,0.187,x,0.0,0.0,9.80665,0.344,0.127,0.634,7.7,1.9,18.6,8.5,8.2,5.4,Arming
0.661,0.411,0.026,0.546,x,0.0,0.0,9.80665,0.349,0.162,0.482,14.2,13.2,3.4,7.8,0.8,7.0,Gyro fail